Start
Read
Begin
DA Warner,3227931031.394337177277.
PD Collingwood,3130591193.110676288605.
SC Ganguly,2958832154.615747928619.
KC Sangakkara,2714331393.887184619904.
Yuvraj Singh,2636938240.777051448822.
SE Marsh,2632414852.640824794769.
RV Uthappa,2518869361.356853008270.
AT Rayudu,2205516821.652741432190.
SS Tiwary,1989940584.497156858444.
AB de Villiers,1955004884.416671752930.
RG Sharma,1944424063.857520103455.
SK Raina,1704388629.361673355103.
A Symonds,1696786376.072237014771.
MS Dhoni,1675623226.234730243683.
CL White,1604656140.313987731934.
JP Duminy,1572954703.434090614319.
V Sehwag,1568427530.936258077621.
AC Gilchrist,1501319720.259347915649.
MEK Hussey,1421370159.296873331070.
SR Tendulkar,1416583218.312980413437.
G Gambhir,1403321057.111954212189.
RA Jadeja,1387053244.008310079575.
S Dhawan,1326558069.987160444260.
MC Henriques,1326149030.694945096970.
S Badrinath,1323548296.455324888229.
YK Pathan,1280923593.924260616302.
JH Kallis,1261567289.723206520081.
R Dravid,1226992799.570534467697.
BB McCullum,1145780104.960971832275.
M Vijay,1101793658.212793111801.
V Kohli,1075276786.879047155380.
KD Karthik,1035772340.492449402809.
JA Morkel,1011305777.804515719414.
IK Pathan,1010444749.619625329971.
Y Venugopal Rao,938230471.134228706360.
BJ Hodge,863691183.831987738609.
DJ Bravo,851080586.421811461449.
CH Gayle,850767613.940784573555.
ML Hayden,821106305.488106131554.
DPMD Jayawardene,819384356.297806978226.
PA Patel,809472321.434195280075.
MK Pandey,781449717.177963137627.
TM Dilshan,764025604.050621986389.
NV Ojha,757045829.208468914032.
MK Tiwary,716082091.356215000153.
AM Rahane,701908480.441579103470.
HH Gibbs,663727322.345737457275.
F du Plessis,654008316.281943082809.
LRPL Taylor,626988861.367904901505.
ST Jayasuriya,611597784.477725505829.
DJ Hussey,604456868.427984118462.
AD Mascarenhas,598660672.043154358864.
TL Suman,555883819.139673352242.
WP Saha,554433897.662121176720.
SV Samson,554008544.781244993210.
AM Nayar,553584290.588922858238.
SR Watson,552374371.071917414665.
PP Chawla,551301277.524063348770.
KP Pietersen,547956910.850303888321.
KA Pollard,533082798.965207815170.
DR Smith,506390156.964932680130.
AJ Finch,495707166.133303761482.
Mandeep Singh,492126574.251309633255.
MS Bisla,464876118.296017885208.
DB Ravi Teja,455935739.504028975964.
RS Bopara,451502800.893451929092.
DA Miller,450125252.675651669502.
SP Goswami,448068441.015574991703.
JD Ryder,422490439.287831544876.
SPD Smith,416766083.807073354721.
M Manhas,412900246.325298368931.
MV Boucher,406358733.103465020657.
AD Mathews,399763014.466665863991.
R Ashwin,396673074.521377921104.
A Mishra,391607721.110826611519.
KK Nair,372536496.262664258480.
EJG Morgan,368795665.626387417316.
