Start
DA Warner,3234851613.825452327728.
PD Collingwood,3136928069.697809219360.
SC Ganguly,2964432990.572766780853.
KC Sangakkara,2719342057.203149318695.
Yuvraj Singh,2641831439.151437282562.
SE Marsh,2638066077.794451236725.
RV Uthappa,2524106503.911641597748.
AT Rayudu,2209579207.171367168427.
SS Tiwary,1993527905.694447755814.
AB de Villiers,1959050069.810122489929.
RG Sharma,1948470094.957140207291.
SK Raina,1707893167.019370317459.
A Symonds,1699735663.575295209885.
MS Dhoni,1679068694.578514575958.
CL White,1607906682.095156908035.
JP Duminy,1576178634.790160894394.
V Sehwag,1571567811.130075216293.
AC Gilchrist,1504411702.834717750549.
MEK Hussey,1424316921.246566295624.
SR Tendulkar,1419514990.681063413620.
G Gambhir,1406182008.869190454483.
RA Jadeja,1389908017.024996519089.
S Dhawan,1329337307.401289224625.
MC Henriques,1328985320.827697038651.
S Badrinath,1326200786.339335441589.
YK Pathan,1283581530.287040233612.
JH Kallis,1264112507.979779958725.
R Dravid,1229452882.150810003281.
BB McCullum,1148156549.011895656586.
M Vijay,1104052235.615333557129.
V Kohli,1077480375.005805253983.
KD Karthik,1037917948.492625713348.
JA Morkel,1013383090.491752147675.
IK Pathan,1012509886.558570384979.
Y Venugopal Rao,940101333.657423853874.
BJ Hodge,865438824.006717920303.
DJ Bravo,852786043.637941837311.
CH Gayle,852533965.978872656822.
ML Hayden,822836479.019530415535.
DPMD Jayawardene,821022048.428503155708.
PA Patel,811103539.536888360977.
MK Pandey,783031521.037276983261.
TM Dilshan,765598395.596420645714.
NV Ojha,758590346.599431872368.
MK Tiwary,717561233.762978076935.
AM Rahane,703354949.838216423988.
HH Gibbs,665063005.921851038933.
F du Plessis,655347031.733289241791.
LRPL Taylor,628239106.135626435280.
ST Jayasuriya,612832927.638405561447.
DJ Hussey,605679144.707276582718.
AD Mascarenhas,599870119.035107254982.
TL Suman,557005539.404546499252.
WP Saha,555564346.417945981026.
SV Samson,555163589.304084062576.
AM Nayar,554718477.278634428978.
SR Watson,553519349.581849217415.
PP Chawla,552340758.789299607277.
KP Pietersen,549100540.539974451065.
KA Pollard,534182347.223922431469.
DR Smith,507452917.045327305794.
AJ Finch,496738758.053036212921.
Mandeep Singh,493128863.706204891205.
MS Bisla,465850016.404454350471.
DB Ravi Teja,456861293.208053052425.
RS Bopara,452398409.727880358696.
DA Miller,451064198.628794312477.
SP Goswami,448991655.571960031986.
JD Ryder,423368469.495407998562.
SPD Smith,417649554.730835795403.
M Manhas,413697209.666641056538.
MV Boucher,407175774.601905226707.
AD Mathews,400566949.565890014172.
R Ashwin,397485316.758923351765.
A Mishra,392400593.413775742054.
KK Nair,373306097.163464725018.
EJG Morgan,369566500.885536789894.
Harbhajan Singh,337428225.237175822258.
GC Smith,335385699.397242486477.
Q de Kock,333781803.769940376282.
GJ Maxwell,330815964.385870933533.
CJ Anderson,323554005.288861691952.
