RA Jadeja,1.5557269342000313.
JH Kallis,1.5033646404700647.
DJ Bravo,1.4767100008269214.
Yuvraj Singh,1.3367597590678841.
SR Watson,1.2757355278176612.
JA Morkel,1.217772083429084.
IK Pathan,1.2083170560068797.
SK Raina,1.0872466846996185.
JP Duminy,1.057029723576687.
AB de Villiers,1.0310990547698822.
CH Gayle,0.9544573144982451.
YK Pathan,0.9475433011763784.
MS Dhoni,0.91775969187089.
RV Uthappa,0.8998851519715697.
G Gambhir,0.8547975711912803.
DA Warner,0.822793618684091.
PP Chawla,0.791868323652484.
AM Rahane,0.7214811455487725.
KA Pollard,0.7094776889139356.
SC Ganguly,0.7039820544476202.
KD Karthik,0.6986842891120894.
A Symonds,0.6530742481483496.
AT Rayudu,0.6415945808957604.
RG Sharma,0.6275746262147613.
JP Faulkner,0.6139084724602892.
BB McCullum,0.6057417615777752.
HH Pandya,0.599585247430126.
Harbhajan Singh,0.5903439767593615.
MK Pandey,0.589260244323013.
A Mishra,0.580886497865557.
R McLaren,0.5576131256983721.
R Dravid,0.5513717823413811.
AC Gilchrist,0.5510568902711989.
DR Smith,0.548349326867096.
MC Henriques,0.5413388734153866.
PA Patel,0.538738761876143.
AR Patel,0.5385778389978055.
ST Jayasuriya,0.5303404931192779.
SE Marsh,0.5174891820117542.
Shakib Al Hasan,0.4797401945496651.
DPMD Jayawardene,0.4765944480318546.
KC Sangakkara,0.4749223648587341.
AD Mathews,0.4714135867646508.
GJ Maxwell,0.46550325717915164.
MEK Hussey,0.4519188984483728.
AM Nayar,0.4510627620367799.
SPD Smith,0.43796286832941367.
V Kohli,0.4378621390120462.
SK Warne,0.43300324956477776.
S Badrinath,0.4276845571554564.
BJ Hodge,0.42685543219882893.
R Ashwin,0.41406170457031266.
BA Stokes,0.4137753875136625.
SV Samson,0.4135738053070553.
AD Mascarenhas,0.40556166695068463.
SP Narine,0.40053093192189.
SS Iyer,0.4003191204968093.
DA Miller,0.3977740459452114.
F du Plessis,0.3969517090150191.
R Vinay Kumar,0.38401325851218404.
RS Bopara,0.38234354275559634.
DT Christian,0.376108648253221.
MN Samuels,0.3745987453064524.
Y Venugopal Rao,0.37155148495763546.
ML Hayden,0.371430345336197.
R Bhatia,0.3647640232676667.
WP Saha,0.36309183115920046.
KS Williamson,0.35993241937831566.
RR Pant,0.3572346334855141.
V Sehwag,0.355110368796394.
NV Ojha,0.3534663063300786.
SS Tiwary,0.35265164322937226.
MK Tiwary,0.348738828688013.
SL Malinga,0.34748901483240113.
MS Bisla,0.34489067401569873.
STR Binny,0.34440115281359424.
DJ Hussey,0.34415081950251003.
JC Buttler,0.34250453490786154.
J Botha,0.34125446709608176.
JD Ryder,0.338378784073457.
LR Shukla,0.33563799904239444.
M Manhas,0.3333715609214906.
MF Maharoof,0.3329238773302347.
B Kumar,0.33282549886318513.
CH Morris,0.32877299342761424.
JR Hopes,0.3253573775804762.
M Vohra,0.32465332031521243.
DW Steyn,0.3198148093062847.
KV Sharma,0.31876818880360325.
RE van der Merwe,0.3186922853815934.
P Negi,0.3166117528560871.
P Kumar,0.3127020367753231.
KK Nair,0.3126034998350206.
LRPL Taylor,0.3080215847368975.
DP Nannes,0.30607112902931355.
DL Vettori,0.30297554487930095.
TL Suman,0.2969358804200467.
DJG Sammy,0.2957398958028127.
UT Yadav,0.29547364947356486.
KM Jadhav,0.29191768583307176.
NLTC Perera,0.2916079306890787.
Mandeep Singh,0.287685594084442.
AD Russell,0.2861029220561363.
SB Styris,0.2858436280515862.
Washington Sundar,0.28275569729673244.
MG Johnson,0.28172318826361314.
KP Pietersen,0.28132382501185305.
Bipul Sharma,0.27492149927203546.
RA Tripathi,0.26563552316705646.
TM Dilshan,0.2654798407233739.
JEC Franklin,0.2624927957565994.
K Goel,0.260403960442225.
PC Valthaty,0.260403960442225.
AB Agarkar,0.2579741878733238.
MM Sharma,0.25454274706302776.
PV Tambe,0.25454274706302776.
K Rabada,0.25329676624228725.
Kuldeep Yadav,0.25329676624228725.
RJ Harris,0.25143167233241664.
Azhar Mahmood,0.2499596643129398.
SA Yadav,0.24978776416783047.
R Dhawan,0.2486116414167306.
MR Marsh,0.24832776925366046.
AN Ahmed,0.24832423900331607.
Q de Kock,0.24737591567208567.
HH Gibbs,0.24687242736891815.
WPUJC Vaas,0.23790305604067194.
Gurkeerat Singh,0.2360896763129698.
C de Grandhomme,0.23489098910631703.
AL Menaria,0.2343640615737869.
MA Agarwal,0.2313254456766911.
DS Kulkarni,0.23111577914958692.
M Morkel,0.23030537027217007.
MJ Lumb,0.22952294836281695.
R Sathish,0.22952294836281695.
KH Pandya,0.22889005679073682.
MP Stoinis,0.22889005679073682.
DJ Hooda,0.22812873418281243.
M Kartik,0.22812873418281243.
MA Starc,0.22812873418281243.
MJ Clarke,0.22685840872373683.
A Nehra,0.2268527483009211.
SP Goswami,0.22431832787452383.
EJG Morgan,0.2218455251489547.
OA Shah,0.2218309301301273.
CJ Anderson,0.2205175069483488.
VR Aaron,0.2205175069483488.
GJ Bailey,0.2156644150598742.
KL Rahul,0.21525864890523785.
CA Lynn,0.21401394002565025.
KK Cooper,0.21389081905654123.
AB Dinda,0.21323775951354032.
HM Amla,0.21323775951354032.
WD Parnell,0.21323775951354032.
YV Takawale,0.2122829931909915.
