DA Warner,2.4363193816693274.
SE Marsh,2.2762461929091358.
SK Raina,2.236022546051665.
RV Uthappa,2.212991020828775.
Yuvraj Singh,2.0141286685263657.
AB de Villiers,2.0069648380374168.
BB McCullum,1.9214020130792997.
RG Sharma,1.8952339025789682.
MS Dhoni,1.8098731791245641.
S Dhawan,1.8019356264352797.
G Gambhir,1.7539011818369274.
V Sehwag,1.7010225617455224.
SC Ganguly,1.658290357315872.
AT Rayudu,1.6514757047004958.
JP Duminy,1.6427295382551186.
KC Sangakkara,1.6072410504654402.
SR Tendulkar,1.5969978509279.
AC Gilchrist,1.5951359084282084.
V Kohli,1.5563687499240129.
YK Pathan,1.503674968829748.
KD Karthik,1.479521906731533.
PD Collingwood,1.479171571029011.
MEK Hussey,1.4653640379286328.
R Dravid,1.4174230078000587.
JH Kallis,1.400361572147839.
M Vijay,1.3771906001319782.
A Symonds,1.370563207518829.
SR Watson,1.3496853381872322.
AM Rahane,1.3317509250483046.
RA Jadeja,1.3303069420311384.
SS Tiwary,1.3121573982841364.
CL White,1.3078932410797601.
S Badrinath,1.2620939593434697.
CH Gayle,1.2504915379901214.
MK Pandey,1.2380733661565884.
MC Henriques,1.2203463249437352.
PA Patel,1.2139466669046424.
BJ Hodge,1.1601535355446346.
MK Tiwary,1.143165793782266.
F du Plessis,1.1382814438225561.
KA Pollard,1.111827885159304.
DPMD Jayawardene,1.1056125098301628.
NV Ojha,1.0996464319605592.
Mandeep Singh,1.0949761918809218.
DJ Bravo,1.0788120154140688.
Y Venugopal Rao,1.0657276602921701.
SV Samson,1.0614263697868362.
KL Rahul,1.0575147965101772.
JA Morkel,1.0398235316636448.
DA Miller,1.036542068123346.
ML Hayden,1.0276439662957375.
HH Gibbs,1.0151021284110318.
AJ Finch,1.0130135238567042.
DR Smith,1.0001949705596052.
DJ Hussey,0.9995296092796555.
TM Dilshan,0.9987108340562151.
WP Saha,0.9956517751458077.
IK Pathan,0.9883609840065273.
SPD Smith,0.9467959843185453.
KK Nair,0.9419571058637697.
AM Nayar,0.9250979877524694.
GJ Maxwell,0.9211442711431996.
SS Iyer,0.9207334386556483.
LRPL Taylor,0.8983098995904175.
LR Shukla,0.8409276681643352.
EJG Morgan,0.8382775670763585.
SA Yadav,0.8375383556818792.
GC Smith,0.8314597096445526.
RR Pant,0.8309898377929252.
N Rana,0.8307344162372189.
HH Pandya,0.8241736245167834.
KP Pietersen,0.8236689561267012.
ST Jayasuriya,0.8220745681223334.
PP Chawla,0.8144298543729409.
LMP Simmons,0.8010924843784211.
M Vohra,0.7838069881167986.
TL Suman,0.7837258382078196.
MS Bisla,0.7819966581294221.
Q de Kock,0.7793777928506198.
CA Pujara,0.7752376524872946.
E Lewis,0.7734818454014534.
Shakib Al Hasan,0.7718944958843074.
MA Agarwal,0.7680947555820887.
KM Jadhav,0.7679456795952009.
RS Bopara,0.7606437775549546.
SP Goswami,0.7467835599330221.
Harbhajan Singh,0.745438660115206.
DB Ravi Teja,0.7425531492487345.
KS Williamson,0.7420941683077737.
AD Mathews,0.7404750973186303.
JC Buttler,0.7396833463390057.
M Manhas,0.7385609030859619.
JD Ryder,0.7364306225601597.
AR Patel,0.7159547498549358.
CA Lynn,0.7140134591924345.
STR Binny,0.7068246553388482.
OA Shah,0.7040919881868862.
AL Menaria,0.7017783297546694.
A Mishra,0.7007439529093977.
CJ Anderson,0.6981540698353778.
R Ashwin,0.6915320022428249.
R McLaren,0.6913517643599941.
AD Mascarenhas,0.6886716593197627.
SA Asnodkar,0.686088713294924.
DJM Short,0.6772243213852208.
GJ Bailey,0.6764889278853217.
RA Tripathi,0.6758713096968743.
MN van Wyk,0.6743045533271528.
B Chipli,0.6737633438750024.
MV Boucher,0.6737199289855546.
BA Stokes,0.6712103788632284.
LA Pomersbach,0.667709695684032.
R Vinay Kumar,0.6629826579018906.
JR Hopes,0.662909689738439.
Ishan Kishan,0.6588394423676984.
KH Pandya,0.6537417700244478.
J Botha,0.6517203682652815.
SM Katich,0.6511502246660643.
HM Amla,0.6485718244804961.
PC Valthaty,0.648468404002095.
DT Christian,0.6453310862665581.
AD Russell,0.6402133749507167.
K Goel,0.6319196487391325.
SP Fleming,0.6273231926301197.
Azhar Mahmood,0.6270029674320607.
Y Nagar,0.6234055839601553.
P Kumar,0.6206850737721065.
SK Warne,0.6193626951604555.
GH Vihari,0.6171770429854551.
S Sohal,0.615841792571205.
MD Mishra,0.6139988472057714.
DJ Hooda,0.6118402699198028.
SB Styris,0.6107477841235335.
JEC Franklin,0.6103072714433897.
DB Das,0.6055344609988176.
DJG Sammy,0.6052437041161848.
JP Faulkner,0.6041766393294795.
VVS Laxman,0.6031121177989753.
BJ Rohrer,0.6017653324536805.
M Kaif,0.5984081115586644.
UBT Chand,0.5977955027887525.
MN Samuels,0.5972190009661539.
R Sathish,0.5955001290150811.
Gurkeerat Singh,0.5951327805269988.
RN ten Doeschate,0.595086007581042.
KV Sharma,0.5937785743287177.
P Negi,0.5931623413618771.
LA Carseldine,0.5930473679498575.
NLTC Perera,0.5929500046482228.
R Bhatia,0.5913751541217115.
MP Stoinis,0.5908115649652865.
SP Narine,0.5894792500285243.
PA Reddy,0.5868489403197993.
W Jaffer,0.5834012376850403.
WA Mota,0.5818005179440212.
MC Juneja,0.5808158126575845.
FY Fazal,0.5799313645427017.
AS Raut,0.5794633964259244.
AP Tare,0.5785291668136648.
RE van der Merwe,0.5774030285387152.
CH Morris,0.5773774973086546.
AA Jhunjhunwala,0.5770155618505798.
JDP Oram,0.5758574432898882.
Salman Butt,0.5755388215484583.
A Chopra,0.574793040686009.
PR Shah,0.5700355392094445.
MJ Lumb,0.5697390061019357.
MR Marsh,0.5670113201691082.
AA Bilakhia,0.5657280723139687.
V Shankar,0.5617031194439319.
SW Billings,0.561316807369293.
MF Maharoof,0.5593502325339074.
AB Agarkar,0.5591478973341506.
RT Ponting,0.55704513588989.
Niraj Patel,0.5556152066777692.
S Anirudha,0.5550164205508133.
