WARN: This is a naive implementation of PageRank and is given as an example!
Please refer to PageRank implementation provided by graphx
DA Warner,7982086587.607888.
PD Collingwood,7538113915.519422.
SC Ganguly,7202284442.352093.
SE Marsh,6513781990.007507.
KC Sangakkara,6489855378.221868.
Yuvraj Singh,6322522126.374904.
RV Uthappa,6141377133.437609.
AT Rayudu,5348310514.830629.
AB de Villiers,4802771978.977594.
SS Tiwary,4792453216.243215.
RG Sharma,4731353318.737227.
SK Raina,4130208401.0148826.
A Symonds,4073865647.7221403.
MS Dhoni,4068864204.9406853.
JP Duminy,3840578639.1271377.
CL White,3829913503.355605.
V Sehwag,3714772875.007927.
AC Gilchrist,3652207520.9532657.
MEK Hussey,3477343218.1034307.
SR Tendulkar,3442964328.999763.
G Gambhir,3384534543.698811.
RA Jadeja,3333396079.5255346.
MC Henriques,3296813592.630264.
S Dhawan,3261094528.229048.
S Badrinath,3154948084.6091995.
YK Pathan,3072723166.6261435.
JH Kallis,2987271787.892243.
R Dravid,2891558689.275099.
BB McCullum,2776279368.2400546.
M Vijay,2676156306.560762.
V Kohli,2597303296.1066456.
KD Karthik,2529989960.154658.
JA Morkel,2447935831.8772874.
IK Pathan,2407073962.355942.
Y Venugopal Rao,2197139735.400875.
CH Gayle,2094386845.6543927.
BJ Hodge,2065430690.700079.
ML Hayden,2027222263.350826.
DJ Bravo,2007300816.8601933.
DPMD Jayawardene,1959483951.684548.
PA Patel,1951886237.5691707.
MK Pandey,1873173124.7847612.
TM Dilshan,1859197372.8380268.
NV Ojha,1818182872.1867135.
MK Tiwary,1743828090.5660737.
AM Rahane,1708957118.4258265.
HH Gibbs,1587391218.6252916.
F du Plessis,1583092226.465694.
LRPL Taylor,1465314065.1171138.
DJ Hussey,1447226793.543141.
ST Jayasuriya,1439868423.987646.
AD Mascarenhas,1407262623.450835.
SV Samson,1357410701.0385125.
SR Watson,1349044771.5333486.
AM Nayar,1346355820.1971142.
WP Saha,1340147313.0665.
KP Pietersen,1336125755.3501978.
TL Suman,1336089932.749087.
KA Pollard,1299245687.3091984.
PP Chawla,1272518171.6919816.
DR Smith,1255632016.0969093.
AJ Finch,1212474812.9921713.
Mandeep Singh,1179618668.8636367.
MS Bisla,1148543155.1775918.
DA Miller,1115574006.4593868.
SP Goswami,1090824235.3267064.
DB Ravi Teja,1090680151.647647.
RS Bopara,1068393665.4043643.
SPD Smith,1042112593.1767045.
JD Ryder,1036010820.476111.
R Ashwin,969758654.9403554.
AD Mathews,953776191.6858789.
M Manhas,953499798.577071.
MV Boucher,940784726.8540103.
EJG Morgan,915566904.9973216.
A Mishra,911068727.3870388.
KK Nair,905775902.108697.
Harbhajan Singh,847759992.2389698.
Q de Kock,831631033.7929772.
GC Smith,824079940.4025227.
GJ Maxwell,801554722.6174519.
AL Menaria,790610848.3851475.
CJ Anderson,774960033.5831558.
OA Shah,757846553.2034512.
R McLaren,731814693.3076332.
CA Pujara,716746522.7326541.
SS Iyer,715902222.6437198.
RR Pant,714706253.4079031.
P Kumar,712751282.0939834.
SB Styris,699176313.8771398.
B Chipli,691508027.7985194.
SA Yadav,684587610.1093495.
SA Asnodkar,668946531.5260993.
M Vohra,656613866.7766808.
KM Jadhav,646138305.3477484.
MA Agarwal,642873174.1292042.
LMP Simmons,635666265.0947229.
SK Warne,614136711.5518155.
AR Patel,600839120.6185242.
Shakib Al Hasan,567371919.4405264.
DT Christian,545851284.3270046.
MD Mishra,545595465.6971205.
LA Carseldine,538721819.5156977.
GJ Bailey,532984799.15973854.
E Lewis,530678593.2401134.
KL Rahul,506940900.4052435.
RE van der Merwe,496444337.9738834.
J Botha,485758327.6308675.
N Rana,483570879.3227877.
STR Binny,478365396.28778.
DB Das,471777702.0460261.
VVS Laxman,458002296.4877729.
WA Mota,451072987.3289605.
MN Samuels,436677770.94541574.
JR Hopes,425432624.90934646.
K Goel,425009040.08510953.
FY Fazal,410445175.5893507.
KS Williamson,402338424.987637.
LR Shukla,391896020.75258523.
JC Buttler,390140743.6734198.
R Bhatia,382501946.1583377.
PC Valthaty,377796110.4838732.
M Kaif,375272699.75119555.
Y Nagar,373081458.1188837.
Gurkeerat Singh,369105990.88816214.
GH Vihari,362905494.72487026.
S Sohal,362080514.6505051.
A Chopra,361753337.6069949.
DJM Short,361479857.42703277.
R Vinay Kumar,358001437.11113715.
BA Stokes,356538178.85167545.
Azhar Mahmood,341322067.7771995.
HM Amla,337524424.20743823.
JEC Franklin,314464205.14760524.
AA Bilakhia,308466139.7374704.
AA Jhunjhunwala,294115683.23874605.
HH Pandya,293046577.4712916.
DJG Sammy,291660119.7145239.
PA Reddy,281371822.6928381.
AB Agarkar,263997450.05584845.
SM Katich,256136470.50732577.
RJ Quiney,253308657.70369732.
P Negi,252338818.68280342.
R Dhawan,250545182.7516571.
KV Sharma,248420840.1351991.
RN ten Doeschate,248397338.20000684.
CA Lynn,244214667.37290242.
R Sathish,237989946.45539054.
BJ Rohrer,237626704.83294317.
S Anirudha,230407209.54104424.
JDP Oram,224437366.26661152.
MC Juneja,222492547.64951158.
MF Maharoof,221672978.53602555.
AD Russell,218060296.1099297.
CA Ingram,215597410.47804567.
AS Raut,209739703.34716186.
SP Narine,196481600.32524684.
DL Vettori,196158281.51265144.
MJ Clarke,195759143.67604402.
Ishan Kishan,195573993.82444084.
MR Marsh,185686995.75777665.
MP Stoinis,184515354.3869346.
MN van Wyk,178594955.31010988.
KH Pandya,176427137.70696688.
W Jaffer,174098271.6208182.
LA Pomersbach,173723980.81974393.
RT Ponting,171451714.46277547.
DJ Hooda,170686509.19781175.
AN Ahmed,166626487.42495817.
AC Voges,165396069.4543062.
MJ Lumb,156098781.33716875.
V Shankar,152681578.44846758.
TM Head,152663008.18209326.
NLTC Perera,148735361.3305446.
AS Yadav,146752103.85552225.
DW Steyn,146660115.85219684.
Salman Butt,146534562.60842305.
UBT Chand,140296389.3412296.
AB McDonald,139110776.42986482.
B Kumar,137545432.32313496.
SN Khan,137364255.81986538.
CH Morris,135587467.1184052.
AP Tare,134190306.69925953.
RA Tripathi,131808619.77923861.
DP Nannes,130978008.45610756.
PJ Sangwan,130978008.45610756.
RJ Harris,128912037.98511307.
UT Yadav,124559182.30826794.
Shubman Gill,122415065.05176401.
WPUJC Vaas,116773315.61106035.
NS Naik,116021670.83766404.
JP Faulkner,111926968.88619727.
M Klinger,110639229.2177068.
AB Barath,106194688.82613301.
K Rabada,103417670.37849674.
Niraj Patel,103364100.22406714.
SW Billings,98822690.42301165.
CR Brathwaite,98199163.049868.
PV Tambe,97055797.58816981.
MM Sharma,95500462.88215032.
GR Napier,94151998.02174844.
A Ashish Reddy,90313944.49609278.
JDS Neesham,85724650.7234173.
SD Chitnis,84878797.57670085.
DS Kulkarni,84725944.04340917.
Ankit Sharma,83580590.0797979.
DH Yagnik,82750372.70811543.
IR Jaggi,81692547.78196037.
BB Samantray,80867563.47095644.
RK Singh,78977727.7254481.
Mohammad Hafeez,77220041.32916471.
P Dogra,76959013.30530855.
R Sharma,72858769.89931865.
R Rampaul,71573697.79582028.
RE Levi,70894201.25644638.
SP Fleming,69756481.62172802.
DR Martyn,66959049.73072511.
Anirudh Singh,66536637.9918965.
KW Richardson,65800263.08021982.
WD Parnell,65526622.60969188.
MA Starc,64573238.42553033.
DJ Harris,64110274.619169116.
AC Blizzard,58654662.626470126.
Kamran Akmal,58155779.997603536.
L Ronchi,57008954.93395296.
PP Shaw,54950436.61818211.
JJ Roy,54262317.08493525.
YV Takawale,53968019.35726651.
Bipul Sharma,51954336.32028891.
RR Powar,51574693.920322195.
M Kartik,48866685.594687685.
HV Patel,47796867.09040372.
MG Johnson,46656870.0199423.
A Kumble,43943938.0612098.
A Nehra,43943938.0612098.
CJ McKay,43943938.0612098.
DS Lehmann,43943938.0612098.
Pankaj Singh,43943938.0612098.
AD Hales,43931958.37905711.
A Flintoff,41530531.29724846.
CJ Ferguson,40657874.60464588.
SL Malinga,39989130.68924911.
C de Grandhomme,39116471.75572962.
CM Gautam,37789875.42409373.
D Wiese,36434844.972493164.
DL Chahar,35480234.85688605.
Anureet Singh,34981729.46855467.
S Sriram,33209402.88763798.
S Nadeem,32439305.263710983.
Iqbal Abdulla,32234420.741979595.
TG Southee,31483804.062460106.
JO Holder,31479481.14639131.
X Thalaivan Sargunam,31479481.14639131.
UT Khawaja,29688536.721037537.
J Suchith,29638614.31962136.
PR Shah,29189882.080093887.
S Vidyut,28921952.22189682.
TR Birt,27750686.641995665.
A Mukund,27139852.917915437.
MJ Guptill,26224899.062305316.
Sachin Baby,26028578.027684614.
AP Majumdar,25945813.341082282.
N Saini,25755895.27568014.
KB Arun Karthik,25390370.625511255.
MS Gony,25083495.006230686.
BCJ Cutting,24300343.82079329.
CK Kapugedera,24300343.82079329.
Harpreet Singh,24300343.82079329.
M Ntini,24300343.82079329.
S Chanderpaul,24300343.82079329.
SM Pollock,24156047.00235234.
Misbah-ul-Haq,22586008.32688294.
Yashpal Singh,22188600.19045638.
M Morkel,21736518.935403425.
NM Coulter-Nile,21262086.048924558.
Washington Sundar,20864730.22743791.
S Aravind,20267181.29886431.
Z Khan,20151781.912175756.
R Tewatia,19843479.57521401.
VR Aaron,18719097.366628975.
DT Patil,17119109.708205394.
SB Joshi,17119109.708205394.
Y Gnaneswara Rao,16889961.127806056.
LJ Wright,16730943.770977018.
Kuldeep Yadav,16057209.789626619.
MS Wade,15675670.825625356.
A Zampa,15594418.532983297.
KK Cooper,15456575.603949632.
PJ Cummins,14515163.05095536.
